dataset,example_id,prompt_chars,option_count,has_hint,is_duplicate_prompt
gsm8k,gsm8k_test_1075,225,0,0,0
gsm8k,gsm8k_test_121,220,0,0,0
gsm8k,gsm8k_test_1166,463,0,0,0
gsm8k,gsm8k_test_259,159,0,0,0
gsm8k,gsm8k_test_83,111,0,0,0
gsm8k,gsm8k_test_1207,277,0,0,0
gsm8k,gsm8k_test_1259,161,0,0,0
gsm8k,gsm8k_test_120,152,0,0,0
gsm8k,gsm8k_test_590,370,0,0,0
gsm8k,gsm8k_test_897,184,0,0,0
gsm8k,gsm8k_test_713,177,0,0,0
gsm8k,gsm8k_test_114,344,0,0,0
gsm8k,gsm8k_test_585,287,0,0,0
gsm8k,gsm8k_test_840,242,0,0,0
gsm8k,gsm8k_test_555,165,0,0,0
gsm8k,gsm8k_test_166,250,0,0,0
gsm8k,gsm8k_test_297,294,0,0,0
gsm8k,gsm8k_test_833,278,0,0,0
gsm8k,gsm8k_test_650,372,0,0,0
gsm8k,gsm8k_test_1089,227,0,0,0
gsm8k,gsm8k_test_928,303,0,0,0
gsm8k,gsm8k_test_665,267,0,0,0
gsm8k,gsm8k_test_563,176,0,0,0
gsm8k,gsm8k_test_1129,245,0,0,0
gsm8k,gsm8k_test_991,256,0,0,0
gsm8k,gsm8k_test_1316,256,0,0,0
gsm8k,gsm8k_test_950,206,0,0,0
gsm8k,gsm8k_test_679,89,0,0,0
gsm8k,gsm8k_test_1103,307,0,0,0
gsm8k,gsm8k_test_237,166,0,0,0
gsm8k,gsm8k_test_1019,330,0,0,0
gsm8k,gsm8k_test_482,249,0,0,0
gsm8k,gsm8k_test_364,206,0,0,0
gsm8k,gsm8k_test_1017,209,0,0,0
gsm8k,gsm8k_test_728,178,0,0,0
gsm8k,gsm8k_test_839,149,0,0,0
gsm8k,gsm8k_test_984,323,0,0,0
gsm8k,gsm8k_test_525,340,0,0,0
gsm8k,gsm8k_test_580,213,0,0,0
gsm8k,gsm8k_test_110,353,0,0,0
commonsense_qa,commonsense_qa_val_503,22,5,1,0
commonsense_qa,commonsense_qa_val_552,39,5,1,0
commonsense_qa,commonsense_qa_val_375,83,5,1,0
commonsense_qa,commonsense_qa_val_454,95,5,1,0
commonsense_qa,commonsense_qa_val_898,49,5,1,0
commonsense_qa,commonsense_qa_val_17,74,5,1,0
commonsense_qa,commonsense_qa_val_1202,36,5,1,0
commonsense_qa,commonsense_qa_val_684,82,5,1,0
commonsense_qa,commonsense_qa_val_268,110,5,1,0
commonsense_qa,commonsense_qa_val_1149,57,5,1,0
commonsense_qa,commonsense_qa_val_328,83,5,1,0
commonsense_qa,commonsense_qa_val_512,58,5,1,0
commonsense_qa,commonsense_qa_val_487,61,5,1,0
commonsense_qa,commonsense_qa_val_315,108,5,1,0
commonsense_qa,commonsense_qa_val_1082,31,5,1,0
commonsense_qa,commonsense_qa_val_228,47,5,1,0
commonsense_qa,commonsense_qa_val_699,73,5,1,0
commonsense_qa,commonsense_qa_val_1010,69,5,1,0
commonsense_qa,commonsense_qa_val_23,56,5,1,0
commonsense_qa,commonsense_qa_val_1208,67,5,1,0
commonsense_qa,commonsense_qa_val_997,131,5,1,0
commonsense_qa,commonsense_qa_val_336,65,5,1,0
commonsense_qa,commonsense_qa_val_475,69,5,1,0
commonsense_qa,commonsense_qa_val_938,73,5,1,0
commonsense_qa,commonsense_qa_val_541,42,5,1,0
commonsense_qa,commonsense_qa_val_468,46,5,1,0
commonsense_qa,commonsense_qa_val_51,82,5,1,0
commonsense_qa,commonsense_qa_val_1197,76,5,1,0
commonsense_qa,commonsense_qa_val_597,45,5,1,0
commonsense_qa,commonsense_qa_val_771,108,5,1,0
commonsense_qa,commonsense_qa_val_553,62,5,1,0
commonsense_qa,commonsense_qa_val_511,55,5,1,0
commonsense_qa,commonsense_qa_val_1021,55,5,1,0
commonsense_qa,commonsense_qa_val_1074,61,5,1,0
commonsense_qa,commonsense_qa_val_176,57,5,1,0
commonsense_qa,commonsense_qa_val_1158,126,5,1,0
commonsense_qa,commonsense_qa_val_666,53,5,1,0
commonsense_qa,commonsense_qa_val_4,73,5,1,0
commonsense_qa,commonsense_qa_val_653,70,5,1,0
commonsense_qa,commonsense_qa_val_767,106,5,1,0
truthful_qa_mc,truthfulqa_val_518,46,7,1,0
truthful_qa_mc,truthfulqa_val_352,52,6,1,0
truthful_qa_mc,truthfulqa_val_491,42,4,1,0
truthful_qa_mc,truthfulqa_val_520,40,4,1,0
truthful_qa_mc,truthfulqa_val_13,41,2,1,0
truthful_qa_mc,truthfulqa_val_161,20,3,1,0
truthful_qa_mc,truthfulqa_val_299,71,5,1,0
truthful_qa_mc,truthfulqa_val_80,33,5,1,0
truthful_qa_mc,truthfulqa_val_127,47,5,1,0
truthful_qa_mc,truthfulqa_val_95,42,6,1,0
truthful_qa_mc,truthfulqa_val_88,42,9,1,0
truthful_qa_mc,truthfulqa_val_783,24,6,1,0
truthful_qa_mc,truthfulqa_val_479,13,2,1,0
truthful_qa_mc,truthfulqa_val_426,38,5,1,0
truthful_qa_mc,truthfulqa_val_676,91,4,1,0
truthful_qa_mc,truthfulqa_val_746,54,2,1,0
truthful_qa_mc,truthfulqa_val_638,68,4,1,0
truthful_qa_mc,truthfulqa_val_762,84,5,1,0
truthful_qa_mc,truthfulqa_val_317,53,2,1,0
truthful_qa_mc,truthfulqa_val_128,97,5,1,0
truthful_qa_mc,truthfulqa_val_319,83,6,1,0
truthful_qa_mc,truthfulqa_val_321,175,5,1,0
truthful_qa_mc,truthfulqa_val_268,16,4,1,0
truthful_qa_mc,truthfulqa_val_538,52,2,1,0
truthful_qa_mc,truthfulqa_val_577,141,3,1,0
truthful_qa_mc,truthfulqa_val_754,40,6,1,0
truthful_qa_mc,truthfulqa_val_793,78,6,1,0
truthful_qa_mc,truthfulqa_val_646,174,4,1,0
truthful_qa_mc,truthfulqa_val_420,82,4,1,0
truthful_qa_mc,truthfulqa_val_332,62,4,1,0
truthful_qa_mc,truthfulqa_val_69,42,5,1,0
truthful_qa_mc,truthfulqa_val_442,54,5,1,0
truthful_qa_mc,truthfulqa_val_583,45,7,1,0
truthful_qa_mc,truthfulqa_val_732,56,7,1,0
truthful_qa_mc,truthfulqa_val_201,51,5,1,0
truthful_qa_mc,truthfulqa_val_329,120,4,1,0
truthful_qa_mc,truthfulqa_val_15,88,4,1,0
truthful_qa_mc,truthfulqa_val_472,94,7,1,0
truthful_qa_mc,truthfulqa_val_760,67,6,1,0
truthful_qa_mc,truthfulqa_val_696,142,5,1,0
